H2 Percentage,Equivalence Ratio,Flame Speed (m/s),Flame Temperature (K)
0,0.6,0.12836325041576738,1665.9477483103967
0,0.7,0.21462655772075298,1838.6195726847366
0,0.7999999999999999,0.2922487511891509,1996.8870240525391
0,0.8999999999999999,0.3655455019462636,2134.237920745075
0,0.9999999999999999,0.4189842532063836,2225.5245834770044
0,1.0999999999999999,0.4111789492287223,2210.383262197842
0,1.1999999999999997,0.36141972875212436,2136.521896470917
0,1.2999999999999998,0.2640872105744179,2057.3003096230523
0,1.4,0.14681790509080164,1979.778887145743
10,0.6,0.14031700651960863,1670.9708017580829
10,0.7,0.22288541281445154,1843.8188994531451
10,0.7999999999999999,0.3082770670776768,2002.041679502448
10,0.8999999999999999,0.3873615346228287,2139.088237362624
10,0.9999999999999999,0.4434314803956691,2230.043977049932
10,1.0999999999999999,0.45452473176724834,2216.1851556865245
10,1.1999999999999997,0.39073275064928076,2143.9002723721815
10,1.2999999999999998,0.2819355821773444,2065.9902148468123
10,1.4,0.16559502456548886,1989.6764248295544
20,0.6,0.15238524968082914,1676.8530562047888
20,0.7,0.23910616336254198,1849.900214247795
20,0.7999999999999999,0.3305757715081743,2008.063038545846
20,0.8999999999999999,0.4169993456874506,2144.7520031678505
20,0.9999999999999999,0.45683054334081974,2235.330640664029
20,1.0999999999999999,0.48183892681951807,2222.935666433446
20,1.1999999999999997,0.4375363021067175,2152.4896216914726
20,1.2999999999999998,0.33126517606060357,2076.1111889598737
20,1.4,0.19199046233112987,2001.203212919483
30,0.6,0.15583350255854664,1683.8354142964956
30,0.7,0.26153749824287437,1857.1085153305723
30,0.7999999999999999,0.3590922126331812,2015.1897290102531
30,0.8999999999999999,0.4396632055292972,2151.4532733777787
30,0.9999999999999999,0.49654314512709957,2241.598971166452
30,1.0999999999999999,0.5120590374686533,2230.888742075417
30,1.1999999999999997,0.4776827484876731,2162.6131505907997
30,1.2999999999999998,0.37749727341168904,2088.0463251698325
30,1.4,0.2387800306951362,2014.7954027651715
40,0.6,0.18212155028667953,1692.2580358892708
40,0.7,0.2826922655199771,1865.788696992315
40,0.7999999999999999,0.39291291838750464,2023.756864413055
40,0.8999999999999999,0.48467176116575483,2159.507121676099
40,0.9999999999999999,0.5686215354353318,2249.1519064835543
40,1.0999999999999999,0.5778572280624839,2240.3982881788324
40,1.1999999999999997,0.5296735320476802,2174.719523446308
40,1.2999999999999998,0.4416652913897042,2102.32761610094
40,1.4,0.300373307892878,2031.0586991585083
